2021-05-26 23:13:01.346 [main] INFO  com.ccut.eduservice.EduApplication - Starting EduApplication on DESKTOP-I6INUR7 with PID 5852 (E:\working\shopping-center\service\service_edu\target\classes started by jiang in E:\working\shopping-center)
2021-05-26 23:13:01.348 [main] INFO  com.ccut.eduservice.EduApplication - The following profiles are active: dev
2021-05-26 23:13:02.222 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-05-26 23:13:02.224 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-05-26 23:13:02.249 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13ms. Found 0 Redis repository interfaces.
2021-05-26 23:13:02.722 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2021-05-26 23:13:02.730 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2021-05-26 23:13:02.730 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-05-26 23:13:02.730 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-05-26 23:13:02.805 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-05-26 23:13:02.805 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1407 ms
2021-05-26 23:13:02.997 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-05-26 23:13:05.533 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-05-26 23:13:05.544 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-05-26 23:17:25.738 [main] INFO  com.ccut.eduservice.EduApplication - Starting EduApplication on DESKTOP-I6INUR7 with PID 3276 (E:\working\shopping-center\service\service_edu\target\classes started by jiang in E:\working\shopping-center)
2021-05-26 23:17:25.740 [main] INFO  com.ccut.eduservice.EduApplication - The following profiles are active: dev
2021-05-26 23:17:26.503 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-05-26 23:17:26.504 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-05-26 23:17:26.531 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15ms. Found 0 Redis repository interfaces.
2021-05-26 23:17:27.014 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8001 (http)
2021-05-26 23:17:27.024 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8001"]
2021-05-26 23:17:27.025 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-05-26 23:17:27.025 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-05-26 23:17:27.107 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-05-26 23:17:27.108 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1319 ms
